smiles,Eea,mfp_MQNs13,mfp_MQNs14,mfp_MQNs15,mfp_MQNs16,mfp_MQNs17,mfp_MQNs18,mfp_MQNs19,mfp_MQNs20,mfp_MQNs21,mfp_MQNs22,mfp_MQNs23,mfp_MQNs24,mfp_MQNs25,mfp_MQNs26,mfp_MQNs27,mfp_MQNs28,mfp_MQNs29,mfp_MQNs30,mfp_MQNs31,mfp_MQNs32,mfp_MQNs33,mfp_MQNs34,mfp_MQNs35,mfp_MQNs36,mfp_MQNs37,mfp_MQNs38,mfp_MQNs39,mfp_MQNs40,mfp_MQNs41,mfp_MQNs42,mfp_NumAromaticRings,mfp_NumAliphaticRings,mfp_Chi0n,mfp_Chi0v,mfp_Chi1n,mfp_Chi1v,mfp_Chi2n,mfp_Chi2v,mfp_HallKierAlpha,mfp_tpsa
[*]CC(=O)O[*],1.2063,0.75,0.125,0,0,0,0,0.125,0.5,0.25,0,0,0,0,0.125,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.727062073,0.227062073,0.320812073,0.082281036,0.035932185,0.035932185,0.06625,1.165625
[*]CCCCCC(=O)O[*],0.5062,0.9,0.05,0,0,0,0,0.25,0.2,0.1,0,0,0,0,0.05,0.05,0.05,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.790824829,0.190824829,0.378324829,0.082912415,0.039372874,0.039372874,0.0265,0.46625
[*]CCC(=O)O[*],0.7562,0.818181818,0.090909091,0,0,0,0,0.181818182,0.363636364,0.181818182,0,0,0,0,0.090909091,0.090909091,0.090909091,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756045144,0.210590598,0.346954235,0.082568026,0.037496134,0.037496134,0.048181818,0.847727273
[*]Oc1ccc(CC([*])=O)cc1,1.5033,0.611111111,0.055555556,0,0.166666667,0.166666667,0,0.166666667,0.222222222,0.111111111,0,0,0,0,0.055555556,0.055555556,0.055555556,0.055555556,0,0.333333333,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0.712027588,0.267583143,0.350916477,0.133791572,0.079510345,0.079510345,0.072777778,0.518055556
[*]Cc1ccc(C(=O)O[*])cc1,2.2574,0.611111111,0.055555556,0,0.166666667,0.166666667,0,0.111111111,0.222222222,0.111111111,0,0,0,0,0.055555556,0.055555556,0.055555556,0.055555556,0,0.333333333,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0.712027588,0.267583143,0.350916477,0.133791572,0.085414304,0.085414304,0.072777778,0.518055556
[*]CCC(=O)N[*],1.1904,0.833333333,0.083333333,0,0,0,0,0.166666667,0.25,0.166666667,0,0,0,0,0.083333333,0,0.166666667,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779621824,0.19628849,0.360179844,0.077310912,0.035846047,0.035846047,0.044166667,0.897708333
[*]CCCCCCC(=O)N[*],0.6934,0.916666667,0.041666667,0,0,0,0,0.25,0.125,0.083333333,0,0,0,0,0.041666667,0,0.083333333,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806477579,0.181477579,0.388423256,0.080322123,0.038756357,0.038756357,0.022083333,0.448854167
[*]CC(=O)N[*],0.7672,0.777777778,0.111111111,0,0,0,0,0.111111111,0.333333333,0.222222222,0,0,0,0,0.111111111,0,0.222222222,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761717987,0.206162432,0.341350904,0.075303438,0.03390584,0.03390584,0.058888889,1.196944444
[*]Nc1cccc(C([*])=O)c1,2.356,0.5625,0.0625,0,0.1875,0.1875,0,0.125,0.1875,0.125,0,0,0,0,0.0625,0,0.125,0,0,0.375,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0.709716368,0.272216368,0.348259883,0.136108184,0.082854304,0.082854304,0.081875,0.67328125
[*]Cc1ccc(C(=O)N[*])cc1,1.8315,0.631578947,0.052631579,0,0.157894737,0.157894737,0,0.105263158,0.157894737,0.105263158,0,0,0,0,0.052631579,0,0.105263158,0.052631579,0,0.315789474,0,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0.729234836,0.255550626,0.359060954,0.127775313,0.081850135,0.081850135,0.068947368,0.566973684
[*]CCCCCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,0.9199,0.8,0.05,0,0.075,0.075,0,0.2,0.25,0.15,0,0,0,0,0.05,0.05,0.1,0.15,0,0.15,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0,0.738185509,0.238185509,0.361693085,0.116626198,0.069543989,0.069543989,0.056,0.547875
[*]OC(=O)c1ccc(C([*])=O)cc1,3.2451,0.529411765,0.117647059,0,0.176470588,0.176470588,0,0.117647059,0.352941176,0.176470588,0,0,0,0,0.117647059,0.058823529,0.117647059,0,0,0.352941176,0,0,0,0,0.058823529,0,0,0,0,0,0,0.058823529,0,0.66027911,0.307337934,0.324742396,0.153668967,0.096442327,0.096442327,0.096470588,0.799558824
[*]Oc1ccc(OC([*])=O)cc1,1.4499,0.5625,0.0625,0,0.1875,0.1875,0,0.125,0.375,0.1875,0,0,0,0,0.0625,0.125,0.0625,0,0,0.375,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0.670296554,0.295296554,0.326546554,0.144781036,0.083977731,0.083977731,0.094375,0.72703125
[*]CCCN[*],0.5296,0.923076923,0,0,0,0,0,0.230769231,0.076923077,0.076923077,0,0,0,0,0,0,0.076923077,0.230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.842093353,0.149785661,0.393694922,0.055662061,0.018215646,0.018215646,0.003076923,0.500384615
[*]Oc1ccc(C(=O)c2ccc([*])cc2)cc1,2.4594,0.52,0.04,0,0.24,0.24,0,0.12,0.16,0.08,0,0,0,0,0.04,0.04,0.04,0,0,0.48,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0.692659863,0.292659863,0.352659863,0.156329932,0.101329932,0.101329932,0.0836,0.373
[*]c1ccc([*])cc1,2.6013,0.5,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.083333333,0,0,0,0,0,0,0.083333333,0,0.75,0.25,0.375,0.125,0.0625,0.0625,0.065,0
[*]CCc1ccc(-c2ccc([*])cc2)cc1,1.482,0.607142857,0,0,0.214285714,0.214285714,0,0.107142857,0,0,0,0,0,0,0,0,0,0.071428571,0,0.428571429,0,0,0,0,0.071428571,0,0,0,0,0,0,0.071428571,0,0.75,0.25,0.383928571,0.133928571,0.084821429,0.084821429,0.055714286,0
[*]Cc1ccc(CO[*])cc1,1.6106,0.684210526,0,0,0.157894737,0.157894737,0,0.157894737,0.105263158,0.052631579,0,0,0,0,0,0.052631579,0,0.105263158,0,0.315789474,0,0,0,0,0.052631579,0,0,0,0,0,0,0.052631579,0,0.758328857,0.232013068,0.374335391,0.116006534,0.071161162,0.071161162,0.043157895,0.266184211
[*]CCOCCOC(=O)O[*],0.4954,0.894736842,0.052631579,0,0,0,0,0.263157895,0.421052632,0.210526316,0,0,0,0,0.052631579,0.157894737,0.052631579,0.210526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.743841745,0.217525956,0.349104903,0.090776046,0.040016335,0.040016335,0.040526316,0.733684211
[*]CCC(O[*])(C(F)(F)F)C(F)(F)F,0.4911,0.944444444,0,0,0,0,0,0.166666667,0.111111111,0.055555556,0,0,0,0,0.333333333,0.055555556,0,0.277777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62089084,0.287557507,0.291459214,0.129889865,0.100094686,0.100094686,0.025555556,0.280972222
[*]c1ccc([*])s1,2.9681,0.444444444,0,0,0.333333333,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.444444444,0,0,0,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0.712027588,0.358304986,0.350916477,0.219416097,0.061798469,0.12983985,0.033333333,0
[*]Oc1ccc(-c2ccc(C([*])=O)cc2)cc1,2.4015,0.52,0.04,0,0.24,0.24,0,0.12,0.16,0.08,0,0,0,0,0.04,0.04,0.04,0,0,0.48,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0.692659863,0.292659863,0.352659863,0.156329932,0.102247449,0.102247449,0.0836,0.373
[*]Nc1ccc([*])cc1,0.9827,0.571428571,0,0,0.214285714,0.214285714,0,0.071428571,0.071428571,0.071428571,0,0,0,0,0,0,0.071428571,0,0,0.428571429,0,0,0,0,0.071428571,0,0,0,0,0,0,0.071428571,0,0.746229543,0.246229543,0.365573856,0.123114771,0.069543343,0.069543343,0.07,0.464642857
[*]CC(C1=CC=CC=C1)CC(C2=CC=CC=C2)CC(C3=CC=CC=C3)CC(C4=CC=CC=C4)[*],1.5606,0.681818182,0,0,0.181818182,0.181818182,0,0.166666667,0,0,0,0,0,0,0,0,0,0.121212121,0,0.363636364,0,0,0,0,0.060606061,0,0,0,0,0,0,0.060606061,0,0.757575758,0.242424242,0.390151515,0.132575758,0.085227273,0.085227273,0.047272727,0
[*]C(S1)=CC=C1C(S2)=CC=C2[*],2.9681,0.4375,0,0,0.3125,0.3125,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.125,0.5,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0.676031036,0.403093109,0.347906036,0.262468109,0.097906036,0.199968109,0.0375,0
[*]CC(C=C1)=CC=C1C[*],0.8499,0.666666667,0,0,0.166666667,0.166666667,0,0.111111111,0,0,0,0,0,0,0,0,0,0.111111111,0,0.333333333,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0.777777778,0.222222222,0.388888889,0.111111111,0.069444444,0.069444444,0.043333333,0
[*]CCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(=O)[*],0.7602,0.9375,0.05,0,0,0,0,0.3125,0.2,0.1,0,0,0,0,0.05,0.05,0.05,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778324829,0.203324829,0.383743622,0.096243622,0.048590029,0.048590029,0.0265,0.32875
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(=S)[*],3.9365,0.44,0.04,0,0.32,0.28,0,0.12,0,0,0,0,0,0,0.04,0,0.04,0,0.12,0.48,0,0,0,0.12,0,0,0,0,0,0,0,0.12,0,0.645319726,0.455959179,0.337154761,0.291464282,0.116237244,0.238711731,0.0324,0
[*]C(S1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],2.4093,0.458333333,0,0,0.333333333,0.291666667,0,0.125,0.083333333,0.041666667,0,0,0,0,0,0.041666667,0,0,0.125,0.5,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0.651374715,0.420103454,0.336963221,0.276181615,0.115091765,0.232603454,0.045833333,0.210729167
[*]C(S1)=CC=C1C(S2)=CC=C2OC(=S)[*],3.2944,0.473684211,0.052631579,0,0.263157895,0.263157895,0,0.105263158,0.105263158,0.052631579,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0.105263158,0.421052632,0,0,0,0.105263158,0,0,0,0,0,0,0,0.105263158,0,0.638578587,0.451709627,0.325203632,0.274742656,0.101962494,0.205453363,0.037368421,0.121447368
[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],3.4574,0.473684211,0.052631579,0,0.263157895,0.263157895,0,0.157894737,0.105263158,0.052631579,0,0,0,0,0.052631579,0.052631579,0.052631579,0,0.105263158,0.421052632,0,0,0,0.105263158,0,0,0,0,0,0,0,0.105263158,0,0.638578587,0.451709627,0.322789114,0.277157175,0.109527165,0.225732855,0.037368421,0.266184211
[*]C(S1)=CC=C1C(=S)OC(=S)[*],4.0075,0.5,0.142857143,0,0.214285714,0.142857143,0,0.071428571,0.142857143,0.071428571,0,0,0,0,0.142857143,0.071428571,0.142857143,0,0.071428571,0.285714286,0,0,0,0.071428571,0,0,0,0,0,0,0,0.071428571,0,0.616642369,0.505891636,0.301767491,0.275552717,0.089721512,0.186432517,0.022857143,0.164821429
[*]C(S1)=CC=C1OC(S2)=CC=C2O[*],1.3443,0.5,0,0,0.277777778,0.277777778,0,0.166666667,0.222222222,0.111111111,0,0,0,0,0,0.111111111,0,0,0.111111111,0.444444444,0,0,0,0.111111111,0,0,0,0,0,0,0,0.111111111,0,0.646277398,0.403665907,0.324284295,0.253436788,0.098367818,0.194186978,0.055555556,0.409166667
[*]C(S1)=CC=C1OC(=S)O[*],2.5249,0.538461538,0.076923077,0,0.230769231,0.153846154,0,0.076923077,0.307692308,0.153846154,0,0,0,0,0.076923077,0.153846154,0.076923077,0,0.076923077,0.307692308,0,0,0,0.076923077,0,0,0,0,0,0,0,0.076923077,0,0.625614859,0.44353741,0.298691782,0.246114596,0.084126438,0.169693549,0.046923077,0.566538462
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3C(S4)=CC=C4[*],2.752,0.454545455,0,0,0.333333333,0.303030303,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0.090909091,0.545454545,0,0,0,0.090909091,0.03030303,0,0,0,0,0,0,0.121212121,0,0.673477117,0.384067716,0.355295299,0.247704079,0.115268758,0.20186688,0.050909091,0
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(S3)=CC=C3O[*],1.7103,0.481481481,0,0,0.296296296,0.296296296,0,0.111111111,0.074074074,0.037037037,0,0,0,0,0,0.037037037,0,0,0.074074074,0.518518519,0,0,0,0.074074074,0.037037037,0,0,0,0,0,0,0.111111111,0,0.674990551,0.365101409,0.349217371,0.227911625,0.110331632,0.184545853,0.058518519,0.187314815
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],2.3385,0.472222222,0,0,0.305555556,0.305555556,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0.055555556,0.555555556,0,0,0,0.055555556,0.055555556,0,0,0,0,0,0,0.111111111,0,0.689347127,0.34581916,0.362958238,0.213874715,0.112321074,0.16335211,0.06,0
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3C(=S)[*],3.3503,0.483870968,0.032258065,0,0.290322581,0.258064516,0,0.096774194,0,0,0,0,0,0,0.032258065,0,0.032258065,0,0.032258065,0.516129032,0,0,0,0.032258065,0.064516129,0,0,0,0,0,0,0.096774194,0,0.687628922,0.353209347,0.358463627,0.204423139,0.108463627,0.147971526,0.057096774,0
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(C=C3)=CC=C3O[*],1.8588,0.5,0,0,0.3,0.266666667,0,0.1,0.066666667,0.033333333,0,0,0,0,0,0.033333333,0,0,0.033333333,0.533333333,0,0,0,0.033333333,0.066666667,0,0,0,0,0,0,0.1,0,0.693883219,0.321099772,0.359020691,0.189295634,0.107147817,0.141168508,0.068666667,0.168583333
[*]C(C=C1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3[*],3.6267,0.464285714,0.035714286,0,0.285714286,0.285714286,0,0.107142857,0,0,0,0,0,0,0.035714286,0,0.035714286,0,0.071428571,0.5,0,0,0,0.071428571,0.035714286,0,0,0,0,0,0,0.107142857,0,0.668740888,0.399079808,0.34895074,0.243280792,0.111524386,0.191716014,0.046071429,0
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(S3)=CC=C3[*],2.1082,0.481481481,0,0,0.296296296,0.296296296,0,0.111111111,0.074074074,0.037037037,0,0,0,0,0,0.037037037,0,0,0.074074074,0.518518519,0,0,0,0.074074074,0.037037037,0,0,0,0,0,0,0.111111111,0,0.674990551,0.365101409,0.350916477,0.22621252,0.104158792,0.169425546,0.058518519,0.085462963
[*]C(C=C1)=CC=C1C(S2)=CC=C2OC(=S)[*],2.8418,0.5,0.045454545,0,0.272727273,0.227272727,0,0.090909091,0.090909091,0.045454545,0,0,0,0,0.045454545,0.045454545,0.045454545,0,0.045454545,0.454545455,0,0,0,0.045454545,0.045454545,0,0,0,0,0,0,0.090909091,0,0.669306585,0.379897183,0.341846397,0.215698436,0.097910868,0.150175864,0.054090909,0.104886364
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(S3)=CC=C3O[*],1.897,0.5,0,0,0.3,0.266666667,0,0.1,0.066666667,0.033333333,0,0,0,0,0,0.033333333,0,0,0.033333333,0.533333333,0,0,0,0.033333333,0.066666667,0,0,0,0,0,0,0.1,0,0.693883219,0.321099772,0.359020691,0.189295634,0.107288123,0.140060231,0.068666667,0.168583333
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(S4)=CC=C4[*],2.2963,0.487179487,0,0,0.307692308,0.282051282,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0.025641026,0.564102564,0,0,0,0.025641026,0.076923077,0,0,0,0,0,0,0.102564103,0,0.702775597,0.313454997,0.369442264,0.185249868,0.109826879,0.130762689,0.067692308,0
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3C(=S)[*],3.0264,0.5,0.029411765,0,0.264705882,0.264705882,0,0.088235294,0,0,0,0,0,0,0.029411765,0,0.029411765,0,0,0.529411765,0,0,0,0,0.088235294,0,0,0,0,0,0,0.088235294,0,0.703183773,0.315433673,0.366297769,0.172422719,0.105943002,0.111946653,0.066176471,0
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3O[*],1.6576,0.515151515,0,0,0.272727273,0.272727273,0,0.090909091,0.060606061,0.03030303,0,0,0,0,0,0.03030303,0,0,0,0.545454545,0,0,0,0,0.090909091,0,0,0,0,0,0,0.090909091,0,0.709340857,0.285098433,0.367041589,0.157700732,0.104670429,0.104670429,0.076969697,0.153257576
[*]C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)O[*],2.7321,0.52,0.04,0,0.24,0.24,0,0.08,0.08,0.04,0,0,0,0,0.04,0.04,0.04,0,0,0.48,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0.692659863,0.325319726,0.352659863,0.172659863,0.101498299,0.116329932,0.0668,0.2023
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],4.1807,0.47826087,0.086956522,0,0.260869565,0.217391304,0,0.130434783,0,0,0,0,0,0,0.086956522,0,0.086956522,0,0.043478261,0.434782609,0,0,0,0.043478261,0.043478261,0,0,0,0,0,0,0.086956522,0,0.661945429,0.420618896,0.339847677,0.236934337,0.106152025,0.177151728,0.039130435,0
[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2O[*],3.2177,0.5,0.045454545,0,0.272727273,0.227272727,0,0.136363636,0.090909091,0.045454545,0,0,0,0,0.045454545,0.045454545,0.045454545,0,0.045454545,0.454545455,0,0,0,0.045454545,0.045454545,0,0,0,0,0,0,0.090909091,0,0.669306585,0.379897183,0.339761131,0.217783702,0.104443993,0.167689972,0.054090909,0.229886364
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2C(=S)[*],2.9311,0.5,0.076923077,0,0.230769231,0.230769231,0,0.115384615,0,0,0,0,0,0,0.076923077,0,0.076923077,0,0,0.461538462,0,0,0,0,0.076923077,0,0,0,0,0,0,0.076923077,0,0.685249868,0.363441913,0.352240319,0.191336341,0.103122547,0.126675333,0.053076923,0
[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],3.1315,0.52,0.04,0,0.24,0.24,0,0.12,0.08,0.04,0,0,0,0,0.04,0.04,0.04,0,0,0.48,0,0,0,0,0.08,0,0,0,0,0,0,0.08,0,0.692659863,0.325319726,0.352659863,0.172659863,0.101329932,0.117659863,0.0668,0.2023
[*]C(C=C1)=CC=C1C(=S)OC(=S)[*],3.7508,0.529411765,0.117647059,0,0.176470588,0.176470588,0,0.058823529,0.117647059,0.058823529,0,0,0,0,0.117647059,0.058823529,0.117647059,0,0,0.352941176,0,0,0,0,0.058823529,0,0,0,0,0,0,0.058823529,0,0.66027911,0.403396355,0.327440975,0.198999598,0.086638405,0.118253551,0.047058824,0.135735294
[*]C(C=C1)=CC=C1OC(S2)=CC=C2O[*],1.2264,0.523809524,0,0,0.285714286,0.238095238,0,0.142857143,0.19047619,0.095238095,0,0,0,0,0,0.095238095,0,0,0.047619048,0.476190476,0,0,0,0.047619048,0.047619048,0,0,0,0,0,0,0.095238095,0,0.677368803,0.335297212,0.341850906,0.194624634,0.094436345,0.139469953,0.07047619,0.350714286
[*]C(C=C1)=CC=C1OC(=S)C(S2)=CC=C2[*],3.1094,0.5,0.045454545,0,0.272727273,0.227272727,0,0.090909091,0.090909091,0.045454545,0,0,0,0,0.045454545,0.045454545,0.045454545,0,0.045454545,0.454545455,0,0,0,0.045454545,0.045454545,0,0,0,0,0,0,0.090909091,0,0.669306585,0.379897183,0.341846397,0.215698436,0.096676908,0.150644517,0.054090909,0.104886364
[*]C(C=C1)=CC=C1OC(=S)O[*],1.8722,0.5625,0.0625,0,0.1875,0.1875,0,0.0625,0.25,0.125,0,0,0,0,0.0625,0.125,0.0625,0,0,0.375,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0.670296554,0.346327591,0.326546554,0.170296554,0.081636639,0.102469972,0.068125,0.4603125
